Stockid,Invoiceid,Description,Quantity,InvoiceDate,Price,CustomerID,Country,productid
536365,85123A,WHITEHANGINGHEARTT-LIGHTHOLDER,6,1212010826,255,17850,UnitedKingdom,1
536365,71053,WHITEMETALLANTERN,6,1212010826,339,17850,UnitedKingdom,1
536365,84406B,CREAMCUPIDHEARTSCOATHANGER,8,1212010826,275,17850,UnitedKingdom,2
536365,84029G,KNITTEDUNIONFLAGHOTWATERBOTTLE,6,1212010826,339,17850,UnitedKingdom,2
536365,84029E,REDWOOLLYHOTTIEWHITEHEART,6,1212010826,339,17850,UnitedKingdom,2
536365,22752,SET7BABUSHKANESTINGBOXES,2,1212010826,765,17850,UnitedKingdom,2
536365,21730,GLASSSTARFROSTEDT-LIGHTHOLDER,6,1212010826,425,17850,UnitedKingdom,2
536366,22633,HANDWARMERUNIONJACK,6,1212010828,185,17850,UnitedKingdom,1
536366,22632,HANDWARMERREDPOLKADOT,6,1212010828,185,17850,UnitedKingdom,3
536368,22960,JAMMAKINGSETWITHJARS,6,1212010834,425,13047,UnitedKingdom,3
536368,22913,REDCOATRACKPARISFASHION,3,1212010834,495,13047,UnitedKingdom,3
536368,22912,YELLOWCOATRACKPARISFASHION,3,1212010834,495,13047,UnitedKingdom,1
536368,22914,BLUECOATRACKPARISFASHION,3,1212010834,495,13047,UnitedKingdom,1
536367,84879,ASSORTEDCOLOURBIRDORNAMENT,32,1212010834,169,13047,UnitedKingdom,1
536367,22745,POPPY'SPLAYHOUSEBEDROOM,6,1212010834,21,13047,UnitedKingdom,1
536367,22748,POPPY'SPLAYHOUSEKITCHEN,6,1212010834,21,13047,UnitedKingdom,2
536367,22749,FELTCRAFTPRINCESSCHARLOTTEDOLL,8,1212010834,375,13047,UnitedKingdom,2
536367,22310,IVORYKNITTEDMUGCOSY,6,1212010834,165,13047,UnitedKingdom,2
536367,84969,BOXOF6ASSORTEDCOLOURTEASPOONS,6,1212010834,425,13047,UnitedKingdom,2
536367,22623,BOXOFVINTAGEJIGSAWBLOCKS,3,1212010834,495,13047,UnitedKingdom,2
536367,22622,BOXOFVINTAGEALPHABETBLOCKS,2,1212010834,995,13047,UnitedKingdom,3
536367,21754,HOMEBUILDINGBLOCKWORD,3,1212010834,595,13047,UnitedKingdom,3
536367,21755,LOVEBUILDINGBLOCKWORD,3,1212010834,595,13047,UnitedKingdom,3
536367,21777,RECIPEBOXWITHMETALHEART,4,1212010834,795,13047,UnitedKingdom,1
536367,48187,DOORMATNEWENGLAND,4,1212010834,795,13047,UnitedKingdom,2
536369,21756,BATHBUILDINGBLOCKWORD,3,1212010835,595,13047,UnitedKingdom,1
536370,22728,ALARMCLOCKBAKELIKEPINK,24,1212010845,375,12583,France,1
536370,22727,ALARMCLOCKBAKELIKERED,24,1212010845,375,12583,France,2
536370,22726,ALARMCLOCKBAKELIKEGREEN,12,1212010845,375,12583,France,2
536370,21724,PANDAANDBUNNIESSTICKERSHEET,12,1212010845,085,12583,France,2
536370,21883,STARSGIFTTAPE,24,1212010845,065,12583,France,2
536370,10002,INFLATABLEPOLITICALGLOBE,48,1212010845,085,12583,France,2
536370,21791,VINTAGEHEADSANDTAILSCARDGAME,24,1212010845,125,12583,France,2
536370,21035,SET2REDRETROSPOTTEATOWELS,18,1212010845,295,12583,France,2
536370,22326,ROUNDSNACKBOXESSETOF4WOODLAND,24,1212010845,295,12583,France,2
536370,22629,SPACEBOYLUNCHBOX,24,1212010845,195,12583,France,2
536370,22659,LUNCHBOXILOVELONDON,24,1212010845,195,12583,France,2
536370,22631,CIRCUSPARADELUNCHBOX,24,1212010845,195,12583,France,2
536370,22661,CHARLOTTEBAGDOLLYGIRLDESIGN,20,1212010845,085,12583,France,3
536370,21731,REDTOADSTOOLLEDNIGHTLIGHT,24,1212010845,165,12583,France,3
536370,22900,SET2TEATOWELSILOVELONDON,24,1212010845,295,12583,France,3
536370,21913,VINTAGESEASIDEJIGSAWPUZZLES,12,1212010845,375,12583,France,3
536370,22540,MINIJIGSAWCIRCUSPARADE,24,1212010845,042,12583,France,3
536370,22544,MINIJIGSAWSPACEBOY,24,1212010845,042,12583,France,3
536370,22492,MINIPAINTSETVINTAGE,36,1212010845,065,12583,France,3
536370,POST,POSTAGE,3,1212010845,18,12583,France,3
536371,22086,PAPERCHAINKIT50'SCHRISTMAS,80,1212010900,255,13748,UnitedKingdom,3
536372,22632,HANDWARMERREDPOLKADOT,6,1212010901,185,17850,UnitedKingdom,3
536372,22633,HANDWARMERUNIONJACK,6,1212010901,185,17850,UnitedKingdom,3
536373,85123A,WHITEHANGINGHEARTT-LIGHTHOLDER,6,1212010902,255,17850,UnitedKingdom,3 
536373,71053,WHITEMETALLANTERN,6,1212010902,339,17850,UnitedKingdom,3
536373,84406B,CREAMCUPIDHEARTSCOATHANGER,8,1212010902,275,17850,UnitedKingdom,2
